id,location_type,latitude,longitude,town
137,town,44.977753,-93.2650108,Minneapolis
138,plus,55.755826,37.6172999,Suiz
139,town,43.0521922,-92.9485301,Rockford
140,town,45.454111,-94.51998940000001,Richmond
141,town,43.9820734,-94.6283192,St James
142,town,45.454111,-94.51998940000001,Richmond
143,town,49.8517239,10.6370719,Lindach
144,town,46.1385786,-98.09037940000002,Oakes
145,town,42.688074,-88.0514731,Union Grove
146,town,59.8365575,13.1440464,Sunne
147,town,45.8848164,-95.37766629999999,Alexandria
148,town,44.7809286,-93.9129135,Young America Norwood Young America
149,town,41.8781136,-87.62979820000001,Chicago
150,town,41.8781136,-87.62979820000001,Chicago
151,state,51.165690999999995,10.451526,
152,town,43.317478799999996,-90.8448502,Gays Mills
153,town,43.0886148,-93.99314670000001,Wesley
154,town,48.8272301,-100.44569840000001,Bottineau
155,town,47.9149122,-97.1728973,Grand Forks
156,town,39.6247614,-89.0189684,Moweaqua
157,town,43.1260815,-92.9057526,Rudd
158,town,44.3821877,-93.9457949,Ottawa
159,town,43.0886148,-93.99314670000001,Wesley
160,town,43.181642100000005,-95.65556740000001,Sanborn
161,town,46.2652367,-96.6059072,Wahpeton
162,town,46.2652367,-96.6059072,Wahpeton
163,town,46.2652367,-96.6059072,Wahpeton
164,town,45.998292,-99.5471108,Venturia
165,town,42.74964129999999,-95.5515431,Cherokee
166,town,42.74964129999999,-95.5515431,Cherokee
167,town,46.8771863,-96.78980340000001,Fargo
168,town,46.2652367,-96.6059072,Wahpeton
169,town,47.3222102,-97.7223196,Hope
170,town,46.9360994,-98.4956481,Spiritwood
171,town,47.3222102,-97.7223196,Hope
172,town,41.3436554,-86.30972779999999,Plymouth
173,town,48.4122107,-97.410634,Grafton
174,town,46.607200799999994,-98.3323161,Marion
175,town,46.607200799999994,-98.3323161,Marion
176,town,46.607200799999994,-98.3323161,Marion
177,town,46.3761171,-101.93987170000001,New Leipzig
178,town,40.9047561,-79.1361119,Northpoint
179,town,45.7157948,-96.42589709999999,Dumont
180,town,48.2691655,-99.1901343,Churchs Ferry
181,town,60.1682225,10.2564172,Honefoss
182,town,37.6230708,-97.4714355,Schulte
183,town,48.0852671,-97.47063829999999,Gilby
184,town,46.5707924,-96.0831124,Pelican Rapids
185,town,48.0852671,-97.47063829999999,Gilby
186,town,47.4038683,-97.0620308,Hillsboro
187,town,47.4038683,-97.0620308,Hillsboro
188,town,47.4038683,-97.0620308,Hillsboro
189,town,46.1385786,-98.09037940000002,Oakes
190,town,46.069681,-96.9017475,Hankinson
191,town,46.82666029999999,-100.8895761,Mandan
192,town,44.0553908,-91.6663523,Winona
193,town,47.734154700000005,-97.5667543,Northwood
194,town,44.7635717,-91.2770993,Fall Creek
195,town,47.0049744,-97.2189763,Amenia
196,town,45.4966667,-95.7966667,Hancock
197,town,53.15,24.8167,Zelva
198,state,54.7220589,-113.7265486,
199,town,38.735893299999994,-85.3799577,Madison
200,town,47.6722013,-97.1067515,Reynolds
201,county,39.10257204,-82.17539026,
202,town,39.8036467,-87.673635,Chrisman
203,town,42.0022453,-90.6070804,Delmar
204,town,39.3981062,-89.80870859999999,Nilwood
205,town,48.9058303,-98.1248251,Vang
206,town,46.4416344,-97.68120959999999,Lisbon
207,town,47.7176599,-98.86911640000001,Tiffany
208,town,44.368184899999996,-76.618235,Forest
209,town,39.8036467,-87.673635,Chrisman
210,town,40.715035,-88.00615090000001,Onarga
211,town,44.3113573,-96.79838769999999,Brookings
212,town,50.266667,13.383332999999999,Michelsdorf
213,town,47.679998499999996,-99.1378952,New Rockford
214,town,48.0561196,-100.929317,Velva
215,town,42.974709999999995,-96.3183585,Ireton
216,state,37.839333200000006,-84.2700179,Etive
217,town,48.1513804,-97.64425229999999,Inkster
218,town,47.0799454,-96.7931209,Georgetown
219,town,42.0022453,-90.6070804,Delmar
220,town,40.71471470000001,-94.235232,Mt Ayr
221,town,41.6430472,-95.78916140000001,Logan
222,state,60.472024,8.468946,
223,town,41.823995200000006,-90.5389662,DeWitt
224,town,45.3044062,-97.0364661,Summit
225,town,32.4640245,-86.45969659999999,Prattville
226,town,39.9519661,-93.1657615,Purdin
227,town,41.701932899999996,-93.4607681,Bondurant
228,town,46.9233129,-98.0031547,Valley City
229,town,47.7745617,-96.6093911,Crookston
230,state,31.968598800000002,-99.9018131,Cottongin
231,town,41.451378600000005,-95.1113809,Marne
232,town,38.747840100000005,-85.0671725,Vevay
233,town,40.3267407,-78.9219698,Johnstown
234,town,39.7817213,-89.6501481,Springfield
235,town,48.6191614,-97.4470838,St Thomas
236,town,40.839467299999995,-92.0865655,Douds
237,town,47.679998499999996,-99.1378952,New Rockford
238,town,47.2699845,-97.4064772,Galesburg
239,town,43.1497151,-97.71756690000001,Scotland
240,county,42.86715559,-90.70616323,
241,town,45.1360821,-96.2877218,Bellingham
242,town,46.25,-83.55,Thessalon
243,town,50.224998,-98.950765,Gladstone
244,town,39.6278959,-90.22475490000001,Woodson
245,town,38.1231,-90.3928,Danby Plattin Township
246,town,44.786903,-95.35167840000001,Sacred Heart
247,town,44.364413299999995,-97.1331212,Arlington
248,town,48.3694583,-101.5712743,Foxholm
249,town,42.742500899999996,-93.2103402,Hampton
250,town,46.808326799999996,-100.7837392,Bismarck
251,town,46.808326799999996,-100.7837392,Bismarck
252,town,40.5919904,-84.9587879,Geneva
253,town,38.1231,-90.3928,Danby Plattin Township
254,town,45.431675899999995,-84.99199920000001,Harbor Springs
255,town,44.9638391,28.432336600000003,Atmagea
256,town,41.237668799999994,-86.2539519,Argos
257,town,44.953702899999996,-93.0899578,St Paul
258,town,41.362511600000005,-92.0510106,Harper
259,town,48.4986072,-99.7043077,Wolford
260,town,48.112778999999996,-98.8651202,Devils Lake
261,town,42.9633599,-85.6680863,Grand Rapids
262,town,39.742273700000005,-89.7720477,Curran
263,town,48.112778999999996,-98.8651202,Devils Lake
264,town,48.112778999999996,-98.8651202,Devils Lake
